geo,time,Value,Measure
abw,1996,18000000,Arms Exports (USD)
afg,1992,1000000,Arms Exports (USD)
ago,1979,3000000,Arms Exports (USD)
ago,1980,0,Arms Exports (USD)
ago,2002,2000000,Arms Exports (USD)
alb,2011,0,Arms Exports (USD)
are,1974,8000000,Arms Exports (USD)
are,1983,14000000,Arms Exports (USD)
are,1986,22000000,Arms Exports (USD)
are,1987,1000000,Arms Exports (USD)
are,1990,2000000,Arms Exports (USD)
are,1995,28000000,Arms Exports (USD)
are,1996,6000000,Arms Exports (USD)
are,1997,37000000,Arms Exports (USD)
are,2004,3000000,Arms Exports (USD)
are,2005,11000000,Arms Exports (USD)
are,2006,17000000,Arms Exports (USD)
are,2007,3000000,Arms Exports (USD)
are,2009,34000000,Arms Exports (USD)
are,2010,39000000,Arms Exports (USD)
are,2011,3000000,Arms Exports (USD)
are,2012,70000000,Arms Exports (USD)
are,2013,108000000,Arms Exports (USD)
are,2014,87000000,Arms Exports (USD)
are,2015,142000000,Arms Exports (USD)
are,2016,95000000,Arms Exports (USD)
are,2017,101000000,Arms Exports (USD)
are,2018,114000000,Arms Exports (USD)
are,2019,128000000,Arms Exports (USD)
are,2020,191000000,Arms Exports (USD)
are,2021,57000000,Arms Exports (USD)
are,2022,12000000,Arms Exports (USD)
arg,1962,6000000,Arms Exports (USD)
arg,1964,4000000,Arms Exports (USD)
arg,1967,0,Arms Exports (USD)
arg,1968,8000000,Arms Exports (USD)
arg,1970,0,Arms Exports (USD)
arg,1972,11000000,Arms Exports (USD)
arg,1976,1000000,Arms Exports (USD)
arg,1979,8000000,Arms Exports (USD)
arg,1980,1000000,Arms Exports (USD)
arg,1981,27000000,Arms Exports (USD)
arg,1982,3000000,Arms Exports (USD)
arg,1983,1000000,Arms Exports (USD)
arg,1987,4000000,Arms Exports (USD)
arg,1988,0,Arms Exports (USD)
arg,1990,6000000,Arms Exports (USD)
arg,1991,0,Arms Exports (USD)
arg,1993,13000000,Arms Exports (USD)
arg,1994,5000000,Arms Exports (USD)
arg,1995,5000000,Arms Exports (USD)
arg,2000,2000000,Arms Exports (USD)
arg,2002,2000000,Arms Exports (USD)
arg,2006,2000000,Arms Exports (USD)
arg,2011,1000000,Arms Exports (USD)
arm,2006,4000000,Arms Exports (USD)
aus,1961,2000000,Arms Exports (USD)
aus,1962,4000000,Arms Exports (USD)
aus,1969,26000000,Arms Exports (USD)
aus,1970,17000000,Arms Exports (USD)
aus,1971,36000000,Arms Exports (USD)
aus,1972,6000000,Arms Exports (USD)
aus,1973,72000000,Arms Exports (USD)
aus,1974,92000000,Arms Exports (USD)
aus,1975,131000000,Arms Exports (USD)
aus,1976,113000000,Arms Exports (USD)
aus,1977,62000000,Arms Exports (USD)
aus,1978,21000000,Arms Exports (USD)
aus,1979,22000000,Arms Exports (USD)
aus,1980,15000000,Arms Exports (USD)
aus,1981,17000000,Arms Exports (USD)
aus,1982,26000000,Arms Exports (USD)
aus,1983,31000000,Arms Exports (USD)
aus,1984,62000000,Arms Exports (USD)
aus,1985,10000000,Arms Exports (USD)
aus,1986,57000000,Arms Exports (USD)
aus,1987,89000000,Arms Exports (USD)
aus,1988,18000000,Arms Exports (USD)
aus,1989,18000000,Arms Exports (USD)
aus,1990,168000000,Arms Exports (USD)
aus,1991,90000000,Arms Exports (USD)
aus,1993,30000000,Arms Exports (USD)
aus,1994,36000000,Arms Exports (USD)
aus,1995,36000000,Arms Exports (USD)
aus,1996,16000000,Arms Exports (USD)
aus,1997,20000000,Arms Exports (USD)
aus,1998,4000000,Arms Exports (USD)
aus,2001,43000000,Arms Exports (USD)
aus,2002,47000000,Arms Exports (USD)
aus,2003,44000000,Arms Exports (USD)
aus,2004,2000000,Arms Exports (USD)
aus,2005,49000000,Arms Exports (USD)
aus,2006,26000000,Arms Exports (USD)
aus,2007,52000000,Arms Exports (USD)
aus,2008,56000000,Arms Exports (USD)
aus,2009,84000000,Arms Exports (USD)
aus,2010,137000000,Arms Exports (USD)
aus,2011,143000000,Arms Exports (USD)
aus,2012,45000000,Arms Exports (USD)
aus,2013,54000000,Arms Exports (USD)
aus,2014,97000000,Arms Exports (USD)
aus,2015,87000000,Arms Exports (USD)
aus,2016,135000000,Arms Exports (USD)
aus,2017,100000000,Arms Exports (USD)
aus,2018,39000000,Arms Exports (USD)
aus,2019,104000000,Arms Exports (USD)
aus,2020,413000000,Arms Exports (USD)
aus,2021,188000000,Arms Exports (USD)
aus,2022,33000000,Arms Exports (USD)
aut,1964,0,Arms Exports (USD)
aut,1965,0,Arms Exports (USD)
aut,1966,1000000,Arms Exports (USD)
aut,1967,1000000,Arms Exports (USD)
aut,1968,1000000,Arms Exports (USD)
aut,1969,1000000,Arms Exports (USD)
aut,1970,1000000,Arms Exports (USD)
aut,1971,1000000,Arms Exports (USD)
aut,1972,1000000,Arms Exports (USD)
aut,1973,1000000,Arms Exports (USD)
aut,1974,0,Arms Exports (USD)
aut,1975,0,Arms Exports (USD)
aut,1978,37000000,Arms Exports (USD)
aut,1979,126000000,Arms Exports (USD)
aut,1980,54000000,Arms Exports (USD)
aut,1981,70000000,Arms Exports (USD)
aut,1982,61000000,Arms Exports (USD)
aut,1983,58000000,Arms Exports (USD)
aut,1984,60000000,Arms Exports (USD)
aut,1985,248000000,Arms Exports (USD)
aut,1986,40000000,Arms Exports (USD)
aut,1987,30000000,Arms Exports (USD)
aut,1988,12000000,Arms Exports (USD)
aut,1989,12000000,Arms Exports (USD)
aut,1990,30000000,Arms Exports (USD)
aut,1991,20000000,Arms Exports (USD)
aut,1992,20000000,Arms Exports (USD)
aut,1993,10000000,Arms Exports (USD)
aut,1994,17000000,Arms Exports (USD)
aut,1996,18000000,Arms Exports (USD)
aut,1997,1000000,Arms Exports (USD)
aut,1998,29000000,Arms Exports (USD)
aut,1999,23000000,Arms Exports (USD)
aut,2000,23000000,Arms Exports (USD)
aut,2001,17000000,Arms Exports (USD)
aut,2002,83000000,Arms Exports (USD)
aut,2003,2000000,Arms Exports (USD)
aut,2004,3000000,Arms Exports (USD)
aut,2005,3000000,Arms Exports (USD)
aut,2006,62000000,Arms Exports (USD)
aut,2007,99000000,Arms Exports (USD)
aut,2008,15000000,Arms Exports (USD)
aut,2009,44000000,Arms Exports (USD)
aut,2010,53000000,Arms Exports (USD)
aut,2011,52000000,Arms Exports (USD)
aut,2012,23000000,Arms Exports (USD)
aut,2013,28000000,Arms Exports (USD)
aut,2014,16000000,Arms Exports (USD)
aut,2015,10000000,Arms Exports (USD)
aut,2016,17000000,Arms Exports (USD)
aut,2017,22000000,Arms Exports (USD)
aut,2018,7000000,Arms Exports (USD)
aut,2019,3000000,Arms Exports (USD)
aut,2020,9000000,Arms Exports (USD)
aut,2021,23000000,Arms Exports (USD)
aut,2022,14000000,Arms Exports (USD)
bel,1960,3000000,Arms Exports (USD)
bel,1961,0,Arms Exports (USD)
bel,1962,2000000,Arms Exports (USD)
bel,1963,0,Arms Exports (USD)
bel,1964,0,Arms Exports (USD)
bel,1966,12000000,Arms Exports (USD)
bel,1969,5000000,Arms Exports (USD)
bel,1971,0,Arms Exports (USD)
bel,1978,2000000,Arms Exports (USD)
bel,1979,3000000,Arms Exports (USD)
bel,1980,1000000,Arms Exports (USD)
bel,1981,19000000,Arms Exports (USD)
bel,1982,41000000,Arms Exports (USD)
bel,1983,89000000,Arms Exports (USD)
bel,1984,115000000,Arms Exports (USD)
bel,1985,3000000,Arms Exports (USD)
bel,1986,19000000,Arms Exports (USD)
bel,1988,18000000,Arms Exports (USD)
bel,1989,36000000,Arms Exports (USD)
bel,1990,1000000,Arms Exports (USD)
bel,1991,1000000,Arms Exports (USD)
bel,1994,39000000,Arms Exports (USD)
bel,1995,161000000,Arms Exports (USD)
bel,1996,61000000,Arms Exports (USD)
bel,1997,93000000,Arms Exports (USD)
bel,1998,46000000,Arms Exports (USD)
bel,1999,62000000,Arms Exports (USD)
bel,2000,46000000,Arms Exports (USD)
bel,2001,37000000,Arms Exports (USD)
bel,2002,34000000,Arms Exports (USD)
