geo,time,Value,Measure
afg,1985,47000,Military Personnel
afg,1989,55000,Military Personnel
afg,1990,58000,Military Personnel
afg,1991,45000,Military Personnel
afg,1992,45000,Military Personnel
afg,1993,45000,Military Personnel
afg,1994,45000,Military Personnel
afg,1995,383000,Military Personnel
afg,1996,429000,Military Personnel
afg,1997,429000,Military Personnel
afg,1998,400000,Military Personnel
afg,1999,400000,Military Personnel
afg,2000,400000,Military Personnel
afg,2002,120000,Military Personnel
afg,2003,130000,Military Personnel
afg,2004,27000,Military Personnel
afg,2005,27000,Military Personnel
afg,2006,51000,Military Personnel
afg,2007,51000,Military Personnel
afg,2008,94000,Military Personnel
afg,2009,255745,Military Personnel
afg,2010,306800,Military Personnel
afg,2011,340350,Military Personnel
afg,2012,338150,Military Personnel
afg,2013,330650,Military Personnel
afg,2014,308800,Military Personnel
afg,2015,319400,Military Personnel
afg,2016,323000,Military Personnel
afg,2017,323000,Military Personnel
afg,2018,272900,Military Personnel
afg,2019,278000,Military Personnel
afg,2020,165000,Military Personnel
ago,1985,49500,Military Personnel
ago,1989,107000,Military Personnel
ago,1990,115000,Military Personnel
ago,1991,150000,Military Personnel
ago,1992,128000,Military Personnel
ago,1993,128000,Military Personnel
ago,1994,120000,Military Personnel
ago,1995,122000,Military Personnel
ago,1996,106400,Military Personnel
ago,1997,125500,Military Personnel
ago,1998,129000,Military Personnel
ago,1999,127500,Military Personnel
ago,2000,117500,Military Personnel
ago,2001,145500,Military Personnel
ago,2002,110000,Military Personnel
ago,2003,130000,Military Personnel
ago,2004,118000,Military Personnel
ago,2005,118000,Military Personnel
ago,2006,110000,Military Personnel
ago,2007,117000,Military Personnel
ago,2008,117000,Military Personnel
ago,2009,117000,Military Personnel
ago,2010,117000,Military Personnel
ago,2011,117000,Military Personnel
ago,2012,117000,Military Personnel
ago,2013,117000,Military Personnel
ago,2014,117000,Military Personnel
ago,2015,117000,Military Personnel
ago,2016,117000,Military Personnel
ago,2017,117000,Military Personnel
ago,2018,117000,Military Personnel
ago,2019,117000,Military Personnel
ago,2020,117000,Military Personnel
alb,1985,40400,Military Personnel
alb,1992,65000,Military Personnel
alb,1993,65000,Military Personnel
alb,1994,65000,Military Personnel
alb,1995,86500,Military Personnel
alb,1996,67500,Military Personnel
alb,1997,67500,Military Personnel
alb,1998,67500,Military Personnel
alb,1999,67500,Military Personnel
