geo,time,Value,Measure
afg,1960,40000000,Arms Imports (USD)
afg,1961,56000000,Arms Imports (USD)
afg,1962,64000000,Arms Imports (USD)
afg,1963,40000000,Arms Imports (USD)
afg,1964,56000000,Arms Imports (USD)
afg,1965,91000000,Arms Imports (USD)
afg,1966,198000000,Arms Imports (USD)
afg,1967,230000000,Arms Imports (USD)
afg,1968,145000000,Arms Imports (USD)
afg,1969,92000000,Arms Imports (USD)
afg,1970,9000000,Arms Imports (USD)
afg,1971,149000000,Arms Imports (USD)
afg,1972,124000000,Arms Imports (USD)
afg,1975,90000000,Arms Imports (USD)
afg,1976,230000000,Arms Imports (USD)
afg,1977,75000000,Arms Imports (USD)
afg,1978,281000000,Arms Imports (USD)
afg,1979,360000000,Arms Imports (USD)
afg,1980,352000000,Arms Imports (USD)
afg,1981,382000000,Arms Imports (USD)
afg,1982,294000000,Arms Imports (USD)
afg,1983,236000000,Arms Imports (USD)
afg,1984,368000000,Arms Imports (USD)
afg,1985,153000000,Arms Imports (USD)
afg,1986,284000000,Arms Imports (USD)
afg,1987,561000000,Arms Imports (USD)
afg,1988,1047000000,Arms Imports (USD)
afg,1989,2151000000,Arms Imports (USD)
afg,1990,1865000000,Arms Imports (USD)
afg,1991,1411000000,Arms Imports (USD)
afg,2002,34000000,Arms Imports (USD)
afg,2005,33000000,Arms Imports (USD)
afg,2006,3000000,Arms Imports (USD)
afg,2007,39000000,Arms Imports (USD)
afg,2008,145000000,Arms Imports (USD)
afg,2009,324000000,Arms Imports (USD)
afg,2010,360000000,Arms Imports (USD)
afg,2011,628000000,Arms Imports (USD)
afg,2012,519000000,Arms Imports (USD)
afg,2013,255000000,Arms Imports (USD)
afg,2014,317000000,Arms Imports (USD)
afg,2015,139000000,Arms Imports (USD)
afg,2016,169000000,Arms Imports (USD)
afg,2017,236000000,Arms Imports (USD)
afg,2018,313000000,Arms Imports (USD)
afg,2019,383000000,Arms Imports (USD)
afg,2020,234000000,Arms Imports (USD)
afg,2021,65000000,Arms Imports (USD)
ago,1974,1000000,Arms Imports (USD)
ago,1975,241000000,Arms Imports (USD)
ago,1976,181000000,Arms Imports (USD)
ago,1977,105000000,Arms Imports (USD)
ago,1978,146000000,Arms Imports (USD)
ago,1979,111000000,Arms Imports (USD)
ago,1980,153000000,Arms Imports (USD)
ago,1981,241000000,Arms Imports (USD)
ago,1982,379000000,Arms Imports (USD)
ago,1983,574000000,Arms Imports (USD)
ago,1984,479000000,Arms Imports (USD)
ago,1985,528000000,Arms Imports (USD)
ago,1986,703000000,Arms Imports (USD)
ago,1987,1186000000,Arms Imports (USD)
ago,1988,965000000,Arms Imports (USD)
ago,1989,152000000,Arms Imports (USD)
ago,1990,140000000,Arms Imports (USD)
ago,1993,122000000,Arms Imports (USD)
ago,1994,111000000,Arms Imports (USD)
ago,1995,1000000,Arms Imports (USD)
ago,1996,44000000,Arms Imports (USD)
ago,1997,7000000,Arms Imports (USD)
ago,1998,149000000,Arms Imports (USD)
ago,1999,358000000,Arms Imports (USD)
ago,2000,147000000,Arms Imports (USD)
ago,2001,156000000,Arms Imports (USD)
ago,2002,148000000,Arms Imports (USD)
ago,2003,48000000,Arms Imports (USD)
ago,2004,8000000,Arms Imports (USD)
ago,2005,38000000,Arms Imports (USD)
ago,2006,7000000,Arms Imports (USD)
ago,2007,31000000,Arms Imports (USD)
ago,2008,29000000,Arms Imports (USD)
ago,2009,20000000,Arms Imports (USD)
ago,2013,30000000,Arms Imports (USD)
ago,2014,2000000,Arms Imports (USD)
ago,2015,49000000,Arms Imports (USD)
ago,2016,152000000,Arms Imports (USD)
ago,2017,110000000,Arms Imports (USD)
ago,2018,272000000,Arms Imports (USD)
ago,2019,169000000,Arms Imports (USD)
ago,2020,51000000,Arms Imports (USD)
ago,2022,46000000,Arms Imports (USD)
alb,1960,57000000,Arms Imports (USD)
alb,1961,74000000,Arms Imports (USD)
alb,1962,42000000,Arms Imports (USD)
alb,1963,12000000,Arms Imports (USD)
alb,1964,8000000,Arms Imports (USD)
alb,1965,140000000,Arms Imports (USD)
alb,1966,74000000,Arms Imports (USD)
alb,1967,163000000,Arms Imports (USD)
alb,1968,265000000,Arms Imports (USD)
alb,1969,297000000,Arms Imports (USD)
alb,1970,250000000,Arms Imports (USD)
alb,1971,332000000,Arms Imports (USD)
alb,1972,134000000,Arms Imports (USD)
alb,1973,106000000,Arms Imports (USD)
alb,1974,137000000,Arms Imports (USD)
alb,1975,53000000,Arms Imports (USD)
alb,1976,5000000,Arms Imports (USD)
alb,1977,7000000,Arms Imports (USD)
alb,1978,5000000,Arms Imports (USD)
alb,1995,26000000,Arms Imports (USD)
alb,2003,2000000,Arms Imports (USD)
alb,2005,7000000,Arms Imports (USD)
alb,2007,5000000,Arms Imports (USD)
alb,2012,15000000,Arms Imports (USD)
alb,2013,7000000,Arms Imports (USD)
alb,2014,7000000,Arms Imports (USD)
alb,2015,7000000,Arms Imports (USD)
alb,2017,2000000,Arms Imports (USD)
alb,2018,2000000,Arms Imports (USD)
alb,2019,5000000,Arms Imports (USD)
alb,2020,1000000,Arms Imports (USD)
are,1968,13000000,Arms Imports (USD)
are,1969,13000000,Arms Imports (USD)
are,1970,69000000,Arms Imports (USD)
are,1971,24000000,Arms Imports (USD)
are,1972,26000000,Arms Imports (USD)
are,1973,88000000,Arms Imports (USD)
are,1974,100000000,Arms Imports (USD)
are,1975,153000000,Arms Imports (USD)
are,1976,283000000,Arms Imports (USD)
are,1977,304000000,Arms Imports (USD)
are,1978,217000000,Arms Imports (USD)
are,1979,18000000,Arms Imports (USD)
are,1980,204000000,Arms Imports (USD)
are,1981,429000000,Arms Imports (USD)
are,1982,160000000,Arms Imports (USD)
are,1983,164000000,Arms Imports (USD)
are,1984,312000000,Arms Imports (USD)
are,1985,144000000,Arms Imports (USD)
are,1986,137000000,Arms Imports (USD)
are,1987,199000000,Arms Imports (USD)
are,1988,42000000,Arms Imports (USD)
are,1989,666000000,Arms Imports (USD)
are,1990,564000000,Arms Imports (USD)
are,1991,238000000,Arms Imports (USD)
are,1992,201000000,Arms Imports (USD)
are,1993,578000000,Arms Imports (USD)
are,1994,565000000,Arms Imports (USD)
are,1995,421000000,Arms Imports (USD)
are,1996,480000000,Arms Imports (USD)
are,1997,686000000,Arms Imports (USD)
are,1998,753000000,Arms Imports (USD)
are,1999,436000000,Arms Imports (USD)
are,2000,245000000,Arms Imports (USD)
are,2001,183000000,Arms Imports (USD)
are,2002,221000000,Arms Imports (USD)
are,2003,681000000,Arms Imports (USD)
are,2004,1145000000,Arms Imports (USD)
are,2005,2070000000,Arms Imports (USD)
are,2006,1923000000,Arms Imports (USD)
are,2007,819000000,Arms Imports (USD)
are,2008,728000000,Arms Imports (USD)
are,2009,602000000,Arms Imports (USD)
are,2010,643000000,Arms Imports (USD)
are,2011,1236000000,Arms Imports (USD)
are,2012,1137000000,Arms Imports (USD)
are,2013,2281000000,Arms Imports (USD)
are,2014,733000000,Arms Imports (USD)
are,2015,1179000000,Arms Imports (USD)
are,2016,941000000,Arms Imports (USD)
are,2017,832000000,Arms Imports (USD)
are,2018,1136000000,Arms Imports (USD)
are,2019,810000000,Arms Imports (USD)
are,2020,564000000,Arms Imports (USD)
are,2021,508000000,Arms Imports (USD)
are,2022,681000000,Arms Imports (USD)
arg,1960,111000000,Arms Imports (USD)
arg,1961,205000000,Arms Imports (USD)
arg,1962,48000000,Arms Imports (USD)
arg,1963,19000000,Arms Imports (USD)
arg,1964,19000000,Arms Imports (USD)
arg,1965,7000000,Arms Imports (USD)
arg,1966,93000000,Arms Imports (USD)
arg,1967,143000000,Arms Imports (USD)
arg,1968,430000000,Arms Imports (USD)
arg,1969,230000000,Arms Imports (USD)
