geo,time,Value,Measure
afg,1970,1.62961,Military Spending (% GDP)
afg,1973,1.86891,Military Spending (% GDP)
afg,1974,1.61082,Military Spending (% GDP)
afg,1975,1.72207,Military Spending (% GDP)
afg,1976,2.04609,Military Spending (% GDP)
afg,1977,2.01147,Military Spending (% GDP)
afg,2004,2.43125,Military Spending (% GDP)
afg,2005,1.99207,Military Spending (% GDP)
afg,2006,1.89623,Military Spending (% GDP)
afg,2007,2.56627,Military Spending (% GDP)
afg,2008,2.33555,Military Spending (% GDP)
afg,2009,2.08741,Military Spending (% GDP)
afg,2010,1.94584,Military Spending (% GDP)
afg,2011,1.82135,Military Spending (% GDP)
afg,2012,1.17542,Military Spending (% GDP)
afg,2013,1.07695,Military Spending (% GDP)
afg,2014,1.29801,Military Spending (% GDP)
afg,2015,0.99458,Military Spending (% GDP)
afg,2016,0.95677,Military Spending (% GDP)
afg,2017,0.94523,Military Spending (% GDP)
afg,2018,1.00675,Military Spending (% GDP)
afg,2019,1.17097,Military Spending (% GDP)
afg,2020,1.35886,Military Spending (% GDP)
afg,2021,1.82793,Military Spending (% GDP)
ago,1985,0.00002,Military Spending (% GDP)
ago,1986,0.00002,Military Spending (% GDP)
ago,1987,22.25,Military Spending (% GDP)
ago,1988,21.9805,Military Spending (% GDP)
ago,1989,19.43233,Military Spending (% GDP)
ago,1990,17.46367,Military Spending (% GDP)
ago,1991,7.1025,Military Spending (% GDP)
ago,1992,5.68283,Military Spending (% GDP)
ago,1993,17.52259,Military Spending (% GDP)
ago,1994,5.70928,Military Spending (% GDP)
ago,1995,4.70739,Military Spending (% GDP)
ago,1996,2.44785,Military Spending (% GDP)
ago,1997,5.97227,Military Spending (% GDP)
ago,1998,2.64201,Military Spending (% GDP)
ago,1999,17.33469,Military Spending (% GDP)
ago,2000,6.3926,Military Spending (% GDP)
ago,2001,4.52435,Military Spending (% GDP)
ago,2002,2.86993,Military Spending (% GDP)
ago,2003,3.76148,Military Spending (% GDP)
ago,2004,3.47118,Military Spending (% GDP)
ago,2005,3.69224,Military Spending (% GDP)
ago,2006,3.7615,Military Spending (% GDP)
ago,2007,3.11405,Military Spending (% GDP)
ago,2008,3.57312,Military Spending (% GDP)
ago,2009,4.70961,Military Spending (% GDP)
ago,2010,4.17758,Military Spending (% GDP)
ago,2011,3.25566,Military Spending (% GDP)
ago,2012,3.23666,Military Spending (% GDP)
ago,2013,4.45524,Military Spending (% GDP)
ago,2014,4.69845,Military Spending (% GDP)
ago,2015,3.10543,Military Spending (% GDP)
ago,2016,2.73333,Military Spending (% GDP)
ago,2017,2.50798,Military Spending (% GDP)
ago,2018,1.95579,Military Spending (% GDP)
ago,2019,1.73907,Military Spending (% GDP)
ago,2020,1.70018,Military Spending (% GDP)
ago,2021,1.28992,Military Spending (% GDP)
ago,2022,1.32872,Military Spending (% GDP)
alb,1980,6.05202,Military Spending (% GDP)
alb,1981,5.84832,Military Spending (% GDP)
alb,1982,5.6516,Military Spending (% GDP)
alb,1983,5.44128,Military Spending (% GDP)
alb,1984,6.1175,Military Spending (% GDP)
alb,1985,5.65143,Military Spending (% GDP)
alb,1986,5.62619,Military Spending (% GDP)
alb,1987,5.86223,Military Spending (% GDP)
alb,1988,5.61732,Military Spending (% GDP)
alb,1989,5.16761,Military Spending (% GDP)
alb,1990,5.8883,Military Spending (% GDP)
alb,1991,5.79127,Military Spending (% GDP)
alb,1992,4.67089,Military Spending (% GDP)
alb,1993,3.19945,Military Spending (% GDP)
alb,1994,2.54782,Military Spending (% GDP)
alb,1995,2.05359,Military Spending (% GDP)
alb,1996,1.37903,Military Spending (% GDP)
alb,1997,1.28308,Military Spending (% GDP)
alb,1998,1.23824,Military Spending (% GDP)
alb,1999,1.24921,Military Spending (% GDP)
alb,2000,1.24636,Military Spending (% GDP)
alb,2001,1.30929,Military Spending (% GDP)
alb,2002,1.32003,Military Spending (% GDP)
alb,2003,1.33684,Military Spending (% GDP)
alb,2004,1.38116,Military Spending (% GDP)
alb,2005,1.35,Military Spending (% GDP)
alb,2006,1.56777,Military Spending (% GDP)
alb,2007,1.82077,Military Spending (% GDP)
alb,2008,1.98487,Military Spending (% GDP)
alb,2009,1.51722,Military Spending (% GDP)
alb,2010,1.55859,Military Spending (% GDP)
alb,2011,1.52827,Military Spending (% GDP)
alb,2012,1.48708,Military Spending (% GDP)
alb,2013,1.40898,Military Spending (% GDP)
alb,2014,1.34652,Military Spending (% GDP)
alb,2015,1.1623,Military Spending (% GDP)
alb,2016,1.10358,Military Spending (% GDP)
alb,2017,1.10915,Military Spending (% GDP)
alb,2018,1.16054,Military Spending (% GDP)
alb,2019,1.28081,Military Spending (% GDP)
alb,2020,1.29848,Military Spending (% GDP)
alb,2021,1.22084,Military Spending (% GDP)
alb,2022,1.58488,Military Spending (% GDP)
are,1997,6.75906,Military Spending (% GDP)
are,1998,8.62972,Military Spending (% GDP)
are,1999,7.66954,Military Spending (% GDP)
are,2000,8.32372,Military Spending (% GDP)
are,2001,5.61211,Military Spending (% GDP)
are,2002,4.87553,Military Spending (% GDP)
are,2003,4.69231,Military Spending (% GDP)
are,2004,4.61148,Military Spending (% GDP)
are,2005,3.65647,Military Spending (% GDP)
are,2006,3.22597,Military Spending (% GDP)
are,2007,3.28052,Military Spending (% GDP)
are,2008,3.66802,Military Spending (% GDP)
are,2009,5.45711,Military Spending (% GDP)
are,2010,6.03859,Military Spending (% GDP)
are,2011,5.46631,Military Spending (% GDP)
are,2012,5.07556,Military Spending (% GDP)
are,2013,6.03469,Military Spending (% GDP)
are,2014,5.64365,Military Spending (% GDP)
arg,1960,1.55,Military Spending (% GDP)
arg,1961,2.14,Military Spending (% GDP)
arg,1962,2.66,Military Spending (% GDP)
arg,1963,1.68,Military Spending (% GDP)
arg,1964,1.15,Military Spending (% GDP)
arg,1965,1.07,Military Spending (% GDP)
arg,1966,1.168,Military Spending (% GDP)
arg,1967,1.4,Military Spending (% GDP)
arg,1968,1.68571,Military Spending (% GDP)
arg,1969,1.9375,Military Spending (% GDP)
arg,1970,1.87778,Military Spending (% GDP)
arg,1971,1.80769,Military Spending (% GDP)
arg,1972,1.82381,Military Spending (% GDP)
arg,1973,1.84857,Military Spending (% GDP)
arg,1974,1.65918,Military Spending (% GDP)
arg,1975,2.04196,Military Spending (% GDP)
arg,1976,3.78129,Military Spending (% GDP)
arg,1977,4.0086,Military Spending (% GDP)
arg,1978,4.71914,Military Spending (% GDP)
arg,1979,4.67336,Military Spending (% GDP)
arg,1980,3.09896,Military Spending (% GDP)
arg,1981,3.46535,Military Spending (% GDP)
arg,1982,2.70456,Military Spending (% GDP)
arg,1983,2.73881,Military Spending (% GDP)
arg,1984,2.16204,Military Spending (% GDP)
arg,1985,2.29972,Military Spending (% GDP)
arg,1986,2.31368,Military Spending (% GDP)
arg,1987,2.28439,Military Spending (% GDP)
arg,1988,2.12494,Military Spending (% GDP)
arg,1989,1.88037,Military Spending (% GDP)
arg,1990,1.45091,Military Spending (% GDP)
arg,1991,1.50693,Military Spending (% GDP)
arg,1992,1.42122,Military Spending (% GDP)
